question_id;question_text;survey_name;directorate
Q00053;Apa tingkat pendidikan tertinggi yang diselesaikan?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00054;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00055;Apakah usaha memiliki izin resmi?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00056;Apakah Anda menggunakan internet untuk kegiatan usaha?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00057;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00058;Berapa luas lahan yang diusahakan rumah tangga?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00059;Berapa jarak ke fasilitas kesehatan terdekat?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00060;Berapa jarak ke fasilitas kesehatan terdekat?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00061;Berapa jumlah anggota rumah tangga di tempat tinggal ini?;Survei Industri;Direktorat Statistik Industri
Q00062;Berapa jarak ke fasilitas kesehatan terdekat?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00063;Apa jenis pekerjaan utama Anda?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00064;Apa jenis pekerjaan utama Anda?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00065;Apakah Anda menggunakan internet untuk kegiatan usaha?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00066;Apa hubungan Anda dengan kepala rumah tangga?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00067;Apakah usaha memiliki izin resmi?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00068;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00069;Berapa jumlah pekerja tetap di usaha ini?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00070;Berapa produksi komoditas utama musim panen terakhir?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00071;Apa tingkat pendidikan tertinggi yang diselesaikan?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00072;Apa hubungan Anda dengan kepala rumah tangga?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00073;Berapa jumlah pekerja tetap di usaha ini?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00074;Apakah Anda pernah pindah tempat tinggal dalam lima tahun?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00075;Apa hubungan Anda dengan kepala rumah tangga?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00076;Apakah rumah tangga memiliki akses sanitasi layak?;Survei Industri;Direktorat Statistik Industri
Q00077;Apakah rumah tangga memiliki akses sanitasi layak?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00078;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00079;Apakah Anda menggunakan internet untuk kegiatan usaha?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00080;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Survei Industri;Direktorat Statistik Industri
Q00081;Apakah Anda menggunakan internet untuk kegiatan usaha?;Survei Industri;Direktorat Statistik Industri
Q00082;Apakah usaha memiliki izin resmi?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00083;Berapa produksi komoditas utama musim panen terakhir?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00084;Apakah usaha memiliki izin resmi?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00085;Apa hubungan Anda dengan kepala rumah tangga?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00086;Berapa produksi komoditas utama musim panen terakhir?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00087;Bagaimana kondisi bangunan tempat tinggal?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00088;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00089;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00090;Berapa produksi komoditas utama musim panen terakhir?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00091;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00092;Berapa produksi komoditas utama musim panen terakhir?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00093;Berapa luas lahan yang diusahakan rumah tangga?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00094;Apakah Anda bekerja dalam seminggu terakhir?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00095;Berapa luas lahan yang diusahakan rumah tangga?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00096;Apakah Anda menggunakan pupuk subsidi?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00097;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00098;Berapa jarak ke fasilitas kesehatan terdekat?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00099;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00100;Berapa pendapatan usaha bulan lalu?;Survei Industri;Direktorat Statistik Industri
Q00101;Apakah rumah tangga memelihara ternak dalam setahun terakhir?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00102;Berapa jumlah anggota rumah tangga di tempat tinggal ini?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00103;Apa hubungan Anda dengan kepala rumah tangga?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00104;Apakah Anda bekerja dalam seminggu terakhir?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00105;Berapa jarak ke fasilitas kesehatan terdekat?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00106;Apa jenis pekerjaan utama Anda?;Survei Industri;Direktorat Statistik Industri
Q00107;Apakah Anda pernah pindah tempat tinggal dalam lima tahun?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00108;Apakah Anda bekerja dalam seminggu terakhir?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00109;Apa tingkat pendidikan tertinggi yang diselesaikan?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00110;Apa hubungan Anda dengan kepala rumah tangga?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00111;Apakah Anda menggunakan pupuk subsidi?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00112;Apakah usaha memiliki izin resmi?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00113;Berapa jumlah pekerja tetap di usaha ini?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00114;Apa jenis pekerjaan utama Anda?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00115;Berapa produksi komoditas utama musim panen terakhir?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00116;Apakah rumah memiliki sumber air minum layak?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00117;Berapa pendapatan usaha bulan lalu?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00118;Berapa jumlah pekerja tetap di usaha ini?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00119;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Survei Industri;Direktorat Statistik Industri
Q00120;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00121;Berapa jumlah pekerja tetap di usaha ini?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00122;Apakah Anda pernah pindah tempat tinggal dalam lima tahun?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00123;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00124;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00125;Apakah Anda menggunakan pupuk subsidi?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00126;Apa tingkat pendidikan tertinggi yang diselesaikan?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00127;Berapa luas lahan yang diusahakan rumah tangga?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00128;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00129;Bagaimana kondisi bangunan tempat tinggal?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00130;Berapa jarak ke fasilitas kesehatan terdekat?;Survei Industri;Direktorat Statistik Industri
Q00131;Apa jenis pekerjaan utama Anda?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00132;Berapa produksi komoditas utama musim panen terakhir?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00133;Apa jenis pekerjaan utama Anda?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00134;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00135;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00136;Apakah Anda menggunakan pupuk subsidi?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00137;Apakah Anda pernah pindah tempat tinggal dalam lima tahun?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00138;Berapa produksi komoditas utama musim panen terakhir?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00139;Berapa jumlah pekerja tetap di usaha ini?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00140;Berapa jumlah anggota rumah tangga di tempat tinggal ini?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00141;Berapa jumlah pekerja tetap di usaha ini?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00142;Apakah Anda menggunakan internet untuk kegiatan usaha?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00143;Apa jenis pekerjaan utama Anda?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00144;Apakah Anda bekerja dalam seminggu terakhir?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00145;Bagaimana kondisi bangunan tempat tinggal?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00146;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;Survei Industri;Direktorat Statistik Industri
Q00147;Apakah Anda menggunakan pupuk subsidi?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00148;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00149;Apakah Anda bekerja dalam seminggu terakhir?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00150;Apakah Anda menggunakan internet untuk kegiatan usaha?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00151;Apakah rumah memiliki sumber air minum layak?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00152;Apakah Anda pernah pindah tempat tinggal dalam lima tahun?;Survei Industri;Direktorat Statistik Industri
Q00153;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00154;Berapa luas lahan yang diusahakan rumah tangga?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00155;Apakah Anda pernah pindah tempat tinggal dalam lima tahun?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00156;Apa jenis pekerjaan utama Anda?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00157;Apa hubungan Anda dengan kepala rumah tangga?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00158;Berapa produksi komoditas utama musim panen terakhir?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00159;Apakah rumah tangga memelihara ternak dalam setahun terakhir?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00160;Apakah Anda menggunakan pupuk subsidi?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00161;Berapa pendapatan usaha bulan lalu?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00162;Apakah Anda menggunakan internet untuk kegiatan usaha?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00163;Berapa jarak ke fasilitas kesehatan terdekat?;Survei Industri;Direktorat Statistik Industri
Q00164;Apakah rumah tangga memelihara ternak dalam setahun terakhir?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00165;Berapa jumlah pekerja tetap di usaha ini?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00166;Apa jenis pekerjaan utama Anda?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00167;Apakah usaha memiliki izin resmi?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00168;Apakah usaha memiliki izin resmi?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00169;Berapa pendapatan usaha bulan lalu?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00170;Apa jenis pekerjaan utama Anda?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00171;Berapa jarak ke fasilitas kesehatan terdekat?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00172;Berapa jumlah anggota rumah tangga di tempat tinggal ini?;Survei Industri;Direktorat Statistik Industri
Q00173;Apa hubungan Anda dengan kepala rumah tangga?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00174;Berapa jarak ke fasilitas kesehatan terdekat?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00175;Berapa jumlah anggota rumah tangga di tempat tinggal ini?;Survei Industri;Direktorat Statistik Industri
Q00176;Bagaimana kondisi bangunan tempat tinggal?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00177;Apakah Anda menggunakan pupuk subsidi?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00178;Apakah rumah memiliki sumber air minum layak?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00179;Apakah usaha memiliki izin resmi?;Survei Industri;Direktorat Statistik Industri
Q00180;Apakah rumah memiliki sumber air minum layak?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00181;Apa tingkat pendidikan tertinggi yang diselesaikan?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00182;Berapa jumlah pekerja tetap di usaha ini?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00183;Berapa jumlah pekerja tetap di usaha ini?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00184;Apakah Anda menggunakan internet untuk kegiatan usaha?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00185;Apakah Anda pernah pindah tempat tinggal dalam lima tahun?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00186;Berapa jumlah pekerja tetap di usaha ini?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00187;Apa jenis pekerjaan utama Anda?;Survei Industri;Direktorat Statistik Industri
Q00188;Bagaimana kondisi bangunan tempat tinggal?;Survei Industri;Direktorat Statistik Industri
Q00189;Berapa produksi komoditas utama musim panen terakhir?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00190;Apakah usaha memiliki izin resmi?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00191;Berapa pendapatan usaha bulan lalu?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00192;Apakah rumah tangga memelihara ternak dalam setahun terakhir?;Survei Industri;Direktorat Statistik Industri
Q00193;Apa tingkat pendidikan tertinggi yang diselesaikan?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00194;Berapa jumlah pekerja tetap di usaha ini?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00195;Berapa jumlah anggota rumah tangga di tempat tinggal ini?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00196;Apakah rumah tangga memiliki akses sanitasi layak?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00197;Bagaimana kondisi bangunan tempat tinggal?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00198;Apa jenis pekerjaan utama Anda?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00199;Berapa pendapatan usaha bulan lalu?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00200;Apa tingkat pendidikan tertinggi yang diselesaikan?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00201;Berapa jumlah anggota rumah tangga di tempat tinggal ini?;Survei Industri;Direktorat Statistik Industri
Q00202;Apakah usaha memiliki izin resmi?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00203;Apakah usaha memiliki izin resmi?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00204;Bagaimana kondisi bangunan tempat tinggal?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00205;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00206;Apakah Anda menggunakan pupuk subsidi?;Survei Industri;Direktorat Statistik Industri
Q00207;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00208;Apa hubungan Anda dengan kepala rumah tangga?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00209;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;Survei Industri;Direktorat Statistik Industri
Q00210;Berapa produksi komoditas utama musim panen terakhir?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00211;Apa hubungan Anda dengan kepala rumah tangga?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00212;Apakah Anda menggunakan pupuk subsidi?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00213;Berapa pendapatan usaha bulan lalu?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00214;Apakah Anda menggunakan pupuk subsidi?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00215;Apakah Anda bekerja dalam seminggu terakhir?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00216;Apakah usaha memiliki izin resmi?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00217;Berapa pendapatan usaha bulan lalu?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00218;Apakah Anda menggunakan internet untuk kegiatan usaha?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00219;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;Survei Industri;Direktorat Statistik Industri
Q00220;Berapa pendapatan usaha bulan lalu?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00221;Apakah Anda bekerja dalam seminggu terakhir?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00222;Berapa jarak ke fasilitas kesehatan terdekat?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00223;Berapa produksi komoditas utama musim panen terakhir?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00224;Apakah rumah tangga memiliki akses sanitasi layak?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00225;Apakah Anda menggunakan pupuk subsidi?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00226;Apakah rumah tangga memiliki akses sanitasi layak?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00227;Apakah rumah tangga memiliki akses sanitasi layak?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00228;Apakah rumah tangga memelihara ternak dalam setahun terakhir?;Survei Industri;Direktorat Statistik Industri
Q00229;Apakah Anda bekerja dalam seminggu terakhir?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00230;Apa hubungan Anda dengan kepala rumah tangga?;Survei Industri;Direktorat Statistik Industri
Q00231;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Survei Industri;Direktorat Statistik Industri
Q00232;Apakah rumah tangga memelihara ternak dalam setahun terakhir?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00233;Berapa produksi komoditas utama musim panen terakhir?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00234;Apakah usaha memiliki izin resmi?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00235;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
