id1,id2,survey1,survey2,question1,question2,similarity
Q00002,Q02250,Sensus Pertanian,Sensus Pertanian,Berapa aktual jumlah anggota keluarga dalam wilayah ini ini?,Berapa umum jumlah anggota keluarga dalam wilayah ini ini?,0.9874254465103149
Q00002,Q00117,Sensus Pertanian,Survei Industri,Berapa aktual jumlah anggota keluarga dalam wilayah ini ini?,Berapa keseluruhan jumlah anggota keluarga dalam wilayah ini ini?,0.9860906004905701
Q00002,Q09918,Sensus Pertanian,SUSENAS,Berapa aktual jumlah anggota keluarga dalam wilayah ini ini?,Berapa terkini jumlah anggota keluarga dalam wilayah ini ini?,0.9793804287910461
Q00002,Q09760,Sensus Pertanian,Sensus Perumahan,Berapa aktual jumlah anggota keluarga dalam wilayah ini ini?,Berapa perkiraan jumlah anggota keluarga dalam wilayah ini ini?,0.9782100319862366
Q00002,Q04307,Sensus Pertanian,SUSENAS,Berapa aktual jumlah anggota keluarga dalam wilayah ini ini?,Berapa rata-rata jumlah anggota keluarga dalam wilayah ini ini?,0.9666894674301147
Q00002,Q00791,Sensus Pertanian,Survei Industri,Berapa aktual jumlah anggota keluarga dalam wilayah ini ini?,Seberapa banyak anggota keluarga yang dikelola pada wilayah ini?,0.965004563331604
Q00002,Q03021,Sensus Pertanian,Sensus Perumahan,Berapa aktual jumlah anggota keluarga dalam wilayah ini ini?,Seberapa banyak anggota keluarga yang dicatat pada wilayah ini?,0.9643590450286865
Q00002,Q06075,Sensus Pertanian,Sakernas,Berapa aktual jumlah anggota keluarga dalam wilayah ini ini?,Seberapa banyak anggota keluarga yang tersedia pada wilayah ini?,0.9617432355880737
Q00003,Q06873,Survei UMKM,SUSENAS,Seberapa banyak kegiatan usaha yang digunakan pada aktivitas sehari-hari?,Seberapa banyak kegiatan usaha yang dimiliki pada aktivitas sehari-hari?,0.9874011874198914
Q00003,Q09950,Survei UMKM,Sakernas,Seberapa banyak kegiatan usaha yang digunakan pada aktivitas sehari-hari?,Seberapa banyak kegiatan usaha yang dikelola pada aktivitas sehari-hari?,0.9863889813423157
Q00003,Q02184,Survei UMKM,Sakernas,Seberapa banyak kegiatan usaha yang digunakan pada aktivitas sehari-hari?,Seberapa banyak kegiatan usaha yang diperoleh pada aktivitas sehari-hari?,0.9825321435928345
Q00003,Q05901,Survei UMKM,Sensus Perumahan,Seberapa banyak kegiatan usaha yang digunakan pada aktivitas sehari-hari?,Seberapa banyak kegiatan usaha yang tersedia pada aktivitas sehari-hari?,0.9754852652549744
Q00003,Q06212,Survei UMKM,Survei Industri,Seberapa banyak kegiatan usaha yang digunakan pada aktivitas sehari-hari?,Berapa keseluruhan jumlah kegiatan usaha dalam aktivitas sehari-hari ini?,0.9633647203445435
Q00003,Q01784,Survei UMKM,Survei UMKM,Seberapa banyak kegiatan usaha yang digunakan pada aktivitas sehari-hari?,Seberapa banyak kegiatan usaha yang dihasilkan pada aktivitas sehari-hari?,0.9619651436805725
Q00003,Q07148,Survei UMKM,Sensus Pertanian,Seberapa banyak kegiatan usaha yang digunakan pada aktivitas sehari-hari?,Berapa utama jumlah kegiatan usaha dalam aktivitas sehari-hari ini?,0.9514905214309692
Q00003,Q01880,Survei UMKM,Sensus Perumahan,Seberapa banyak kegiatan usaha yang digunakan pada aktivitas sehari-hari?,Berapa estimasi kegiatan usaha yang digunakan pada aktivitas sehari-hari tersebut?,0.9451776742935181
Q00003,Q00478,Survei UMKM,Survei UMKM,Seberapa banyak kegiatan usaha yang digunakan pada aktivitas sehari-hari?,Berapa aktual jumlah kegiatan usaha dalam aktivitas sehari-hari ini?,0.9440155029296875
Q00004,Q09989,Sensus Penduduk,Survei Hortikultura,Berapa perkiraan jumlah konsumsi pangan dalam lingkungan tempat tinggal ini?,Berapa total jumlah konsumsi pangan dalam lingkungan tempat tinggal ini?,0.9901132583618164
Q00004,Q03264,Sensus Penduduk,Sensus Penduduk,Berapa perkiraan jumlah konsumsi pangan dalam lingkungan tempat tinggal ini?,Berapa umum jumlah konsumsi pangan dalam lingkungan tempat tinggal ini?,0.9867134094238281
Q00004,Q06978,Sensus Penduduk,Sensus Penduduk,Berapa perkiraan jumlah konsumsi pangan dalam lingkungan tempat tinggal ini?,Berapa rata-rata jumlah konsumsi pangan dalam lingkungan tempat tinggal ini?,0.9850155711174011
Q00004,Q05734,Sensus Penduduk,Survei Hortikultura,Berapa perkiraan jumlah konsumsi pangan dalam lingkungan tempat tinggal ini?,Berapa estimasi konsumsi pangan yang dikelola pada lingkungan tempat tinggal tersebut?,0.9809480309486389
Q00004,Q01996,Sensus Penduduk,Sensus Perumahan,Berapa perkiraan jumlah konsumsi pangan dalam lingkungan tempat tinggal ini?,Berapa estimasi konsumsi pangan yang dilakukan pada lingkungan tempat tinggal tersebut?,0.979087233543396
Q00004,Q08948,Sensus Penduduk,Sensus Perumahan,Berapa perkiraan jumlah konsumsi pangan dalam lingkungan tempat tinggal ini?,Berapa estimasi konsumsi pangan yang diperoleh pada lingkungan tempat tinggal tersebut?,0.9755391478538513
Q00004,Q09716,Sensus Penduduk,Survei UMKM,Berapa perkiraan jumlah konsumsi pangan dalam lingkungan tempat tinggal ini?,Berapa estimasi konsumsi pangan yang digunakan pada lingkungan tempat tinggal tersebut?,0.975030243396759
Q00004,Q00531,Sensus Penduduk,Sensus Penduduk,Berapa perkiraan jumlah konsumsi pangan dalam lingkungan tempat tinggal ini?,Seberapa banyak konsumsi pangan yang dicatat pada lingkungan tempat tinggal?,0.9666112065315247
Q00004,Q04267,Sensus Penduduk,Sensus Penduduk,Berapa perkiraan jumlah konsumsi pangan dalam lingkungan tempat tinggal ini?,Seberapa banyak konsumsi pangan yang dialami pada lingkungan tempat tinggal?,0.9664257168769836
Q00005,Q08242,Survei Hortikultura,Sensus Pertanian,Seberapa banyak pengeluaran rumah tangga yang dialami pada rumah tangga ini?,Seberapa banyak pengeluaran rumah tangga yang dilakukan pada rumah tangga ini?,0.9861041307449341
Q00005,Q05338,Survei Hortikultura,Survei Industri,Seberapa banyak pengeluaran rumah tangga yang dialami pada rumah tangga ini?,Seberapa banyak pengeluaran rumah tangga yang dimiliki pada rumah tangga ini?,0.9842206835746765
Q00005,Q09893,Survei Hortikultura,Sensus Pertanian,Seberapa banyak pengeluaran rumah tangga yang dialami pada rumah tangga ini?,Seberapa banyak pengeluaran rumah tangga yang digunakan pada rumah tangga ini?,0.9828551411628723
Q00005,Q00139,Survei Hortikultura,Survei UMKM,Seberapa banyak pengeluaran rumah tangga yang dialami pada rumah tangga ini?,Berapa utama jumlah pengeluaran rumah tangga dalam rumah tangga ini ini?,0.9827224612236023
Q00005,Q00723,Survei Hortikultura,Sensus Perumahan,Seberapa banyak pengeluaran rumah tangga yang dialami pada rumah tangga ini?,Seberapa banyak pengeluaran rumah tangga yang dikelola pada rumah tangga ini?,0.9818581342697144
Q00005,Q00939,Survei Hortikultura,Survei UMKM,Seberapa banyak pengeluaran rumah tangga yang dialami pada rumah tangga ini?,Seberapa banyak pengeluaran rumah tangga yang diterima pada rumah tangga ini?,0.9800316691398621
Q00005,Q08011,Survei Hortikultura,Survei Industri,Seberapa banyak pengeluaran rumah tangga yang dialami pada rumah tangga ini?,Seberapa banyak pengeluaran rumah tangga yang tersedia pada rumah tangga ini?,0.9789507389068604
Q00005,Q05379,Survei Hortikultura,Survei Industri,Seberapa banyak pengeluaran rumah tangga yang dialami pada rumah tangga ini?,Berapa umum jumlah pengeluaran rumah tangga dalam rumah tangga ini ini?,0.9784640073776245
Q00005,Q07503,Survei Hortikultura,Sensus Perumahan,Seberapa banyak pengeluaran rumah tangga yang dialami pada rumah tangga ini?,Berapa keseluruhan jumlah pengeluaran rumah tangga dalam rumah tangga ini ini?,0.9759244322776794
Q00006,Q01825,Sensus Perumahan,Sensus Perumahan,Apa jenis pengeluaran rumah tangga yang dimiliki rumah tangga dalam seminggu terakhir?,Apa jenis pengeluaran rumah tangga yang dikelola rumah tangga dalam seminggu terakhir?,0.9946469068527222
Q00006,Q02060,Sensus Perumahan,Sensus Perumahan,Apa jenis pengeluaran rumah tangga yang dimiliki rumah tangga dalam seminggu terakhir?,Apa jenis pengeluaran rumah tangga yang dialami rumah tangga dalam seminggu terakhir?,0.9884119629859924
Q00006,Q01094,Sensus Perumahan,Survei Industri,Apa jenis pengeluaran rumah tangga yang dimiliki rumah tangga dalam seminggu terakhir?,Apa jenis pengeluaran rumah tangga yang dicatat rumah tangga dalam seminggu terakhir?,0.9865219593048096
Q00006,Q08186,Sensus Perumahan,SUSENAS,Apa jenis pengeluaran rumah tangga yang dimiliki rumah tangga dalam seminggu terakhir?,Apa jenis pengeluaran rumah tangga yang dilakukan rumah tangga dalam seminggu terakhir?,0.9863559007644653
Q00006,Q04596,Sensus Perumahan,Sensus Perumahan,Apa jenis pengeluaran rumah tangga yang dimiliki rumah tangga dalam seminggu terakhir?,Apa jenis pengeluaran rumah tangga yang digunakan rumah tangga dalam seminggu terakhir?,0.9833971261978149
Q00006,Q07226,Sensus Perumahan,Sensus Perumahan,Apa jenis pengeluaran rumah tangga yang dimiliki rumah tangga dalam seminggu terakhir?,Apa jenis pengeluaran rumah tangga yang diterima rumah tangga dalam seminggu terakhir?,0.980218231678009
Q00006,Q02309,Sensus Perumahan,Survei Industri,Apa jenis pengeluaran rumah tangga yang dimiliki rumah tangga dalam seminggu terakhir?,Apa jenis pengeluaran rumah tangga yang tersedia rumah tangga dalam seminggu terakhir?,0.9744827151298523
Q00006,Q00864,Sensus Perumahan,Survei UMKM,Apa jenis pengeluaran rumah tangga yang dimiliki rumah tangga dalam seminggu terakhir?,Berapa keseluruhan jumlah pengeluaran rumah tangga dalam seminggu terakhir ini?,0.9539225101470947
Q00006,Q00138,Sensus Perumahan,SUSENAS,Apa jenis pengeluaran rumah tangga yang dimiliki rumah tangga dalam seminggu terakhir?,Sejauh mana pengeluaran rumah tangga digunakan untuk seminggu terakhir?,0.9526222944259644
Q00007,Q01162,Survei Industri,Survei UMKM,Berapa estimasi anggota keluarga yang dilakukan pada lingkungan tempat tinggal tersebut?,Berapa estimasi anggota keluarga yang dialami pada lingkungan tempat tinggal tersebut?,0.994080126285553
Q00007,Q00949,Survei Industri,Sensus Pertanian,Berapa estimasi anggota keluarga yang dilakukan pada lingkungan tempat tinggal tersebut?,Berapa estimasi anggota keluarga yang dicatat pada lingkungan tempat tinggal tersebut?,0.9917271733283997
Q00007,Q01903,Survei Industri,Survei Industri,Berapa estimasi anggota keluarga yang dilakukan pada lingkungan tempat tinggal tersebut?,Berapa estimasi anggota keluarga yang dikelola pada lingkungan tempat tinggal tersebut?,0.9914363622665405
Q00007,Q05148,Survei Industri,Sensus Pertanian,Berapa estimasi anggota keluarga yang dilakukan pada lingkungan tempat tinggal tersebut?,Berapa estimasi anggota keluarga yang dimiliki pada lingkungan tempat tinggal tersebut?,0.988525927066803
Q00007,Q07616,Survei Industri,SUSENAS,Berapa estimasi anggota keluarga yang dilakukan pada lingkungan tempat tinggal tersebut?,Berapa estimasi anggota keluarga yang dihasilkan pada lingkungan tempat tinggal tersebut?,0.9883518815040588
Q00007,Q05398,Survei Industri,Sakernas,Berapa estimasi anggota keluarga yang dilakukan pada lingkungan tempat tinggal tersebut?,Berapa estimasi anggota keluarga yang diperoleh pada lingkungan tempat tinggal tersebut?,0.9844257831573486
Q00007,Q00022,Survei Industri,Survei Industri,Berapa estimasi anggota keluarga yang dilakukan pada lingkungan tempat tinggal tersebut?,Berapa estimasi anggota keluarga yang diterima pada lingkungan tempat tinggal tersebut?,0.9763621091842651
Q00007,Q02512,Survei Industri,SUSENAS,Berapa estimasi anggota keluarga yang dilakukan pada lingkungan tempat tinggal tersebut?,Berapa estimasi anggota keluarga yang tersedia pada lingkungan tempat tinggal tersebut?,0.9746696949005127
Q00007,Q03102,Survei Industri,Survei Hortikultura,Berapa estimasi anggota keluarga yang dilakukan pada lingkungan tempat tinggal tersebut?,Berapa perkiraan jumlah anggota keluarga dalam lingkungan tempat tinggal ini?,0.954025387763977
Q00008,Q05962,Sensus Penduduk,Sensus Penduduk,Berapa utama jumlah aset usaha dalam aktivitas sehari-hari ini?,Berapa umum jumlah aset usaha dalam aktivitas sehari-hari ini?,0.9883606433868408
Q00008,Q01164,Sensus Penduduk,Sakernas,Berapa utama jumlah aset usaha dalam aktivitas sehari-hari ini?,Berapa total jumlah aset usaha dalam aktivitas sehari-hari ini?,0.9841881990432739
Q00008,Q00215,Sensus Penduduk,Sensus Perumahan,Berapa utama jumlah aset usaha dalam aktivitas sehari-hari ini?,Berapa keseluruhan jumlah aset usaha dalam aktivitas sehari-hari ini?,0.9837724566459656
Q00008,Q06592,Sensus Penduduk,Sensus Perumahan,Berapa utama jumlah aset usaha dalam aktivitas sehari-hari ini?,Berapa aktual jumlah aset usaha dalam aktivitas sehari-hari ini?,0.9828576445579529
Q00008,Q03479,Sensus Penduduk,Sensus Penduduk,Berapa utama jumlah aset usaha dalam aktivitas sehari-hari ini?,Berapa dominan jumlah aset usaha dalam aktivitas sehari-hari ini?,0.9691531658172607
Q00008,Q08405,Sensus Penduduk,Survei Industri,Berapa utama jumlah aset usaha dalam aktivitas sehari-hari ini?,Berapa perkiraan jumlah aset usaha dalam aktivitas sehari-hari ini?,0.9685240983963013
Q00008,Q01383,Sensus Penduduk,SUSENAS,Berapa utama jumlah aset usaha dalam aktivitas sehari-hari ini?,Berapa rata-rata jumlah aset usaha dalam aktivitas sehari-hari ini?,0.9611784815788269
Q00008,Q05645,Sensus Penduduk,Survei Hortikultura,Berapa utama jumlah aset usaha dalam aktivitas sehari-hari ini?,Seberapa banyak aset usaha yang dicatat pada aktivitas sehari-hari?,0.9520797729492188
Q00008,Q03091,Sensus Penduduk,Sensus Perumahan,Berapa utama jumlah aset usaha dalam aktivitas sehari-hari ini?,Seberapa banyak aset usaha yang dihasilkan pada aktivitas sehari-hari?,0.9418774843215942
Q00009,Q00163,Sensus Penduduk,Survei Industri,Seberapa banyak anggota keluarga yang dimiliki pada lingkungan tempat tinggal?,Seberapa banyak anggota keluarga yang dikelola pada lingkungan tempat tinggal?,0.9849581718444824
Q00009,Q09511,Sensus Penduduk,Survei Hortikultura,Seberapa banyak anggota keluarga yang dimiliki pada lingkungan tempat tinggal?,Seberapa banyak anggota keluarga yang diperoleh pada lingkungan tempat tinggal?,0.9814032912254333
Q00009,Q05453,Sensus Penduduk,Sensus Perumahan,Seberapa banyak anggota keluarga yang dimiliki pada lingkungan tempat tinggal?,Seberapa banyak anggota keluarga yang dicatat pada lingkungan tempat tinggal?,0.9742571115493774
Q00009,Q07237,Sensus Penduduk,Sensus Pertanian,Seberapa banyak anggota keluarga yang dimiliki pada lingkungan tempat tinggal?,Seberapa banyak anggota keluarga yang tersedia pada lingkungan tempat tinggal?,0.9656960368156433
Q00009,Q09752,Sensus Penduduk,Survei UMKM,Seberapa banyak anggota keluarga yang dimiliki pada lingkungan tempat tinggal?,Berapa utama jumlah anggota keluarga dalam lingkungan tempat tinggal ini?,0.9643134474754333
Q00009,Q05930,Sensus Penduduk,SUSENAS,Seberapa banyak anggota keluarga yang dimiliki pada lingkungan tempat tinggal?,Seberapa banyak anggota keluarga yang dihasilkan pada lingkungan tempat tinggal?,0.9585901498794556
Q00009,Q07553,Sensus Penduduk,Sensus Perumahan,Seberapa banyak anggota keluarga yang dimiliki pada lingkungan tempat tinggal?,Seberapa banyak anggota keluarga yang digunakan pada lingkungan tempat tinggal?,0.9583047032356262
Q00009,Q08870,Sensus Penduduk,SUSENAS,Seberapa banyak anggota keluarga yang dimiliki pada lingkungan tempat tinggal?,Seberapa banyak anggota keluarga yang dilakukan pada lingkungan tempat tinggal?,0.9570059776306152
Q00009,Q07274,Sensus Penduduk,Survei Hortikultura,Seberapa banyak anggota keluarga yang dimiliki pada lingkungan tempat tinggal?,Berapa aktual jumlah anggota keluarga dalam lingkungan tempat tinggal ini?,0.955308735370636
Q00010,Q05702,Sakernas,Survei Industri,Bagaimana kondisi fasilitas rumah yang diterima di lingkungan tempat tinggal?,Bagaimana kondisi fasilitas rumah yang diperoleh di lingkungan tempat tinggal?,0.9810394048690796
Q00010,Q03583,Sakernas,Survei UMKM,Bagaimana kondisi fasilitas rumah yang diterima di lingkungan tempat tinggal?,Bagaimana kondisi fasilitas rumah yang dikelola di lingkungan tempat tinggal?,0.9701085090637207
Q00010,Q02400,Sakernas,Sakernas,Bagaimana kondisi fasilitas rumah yang diterima di lingkungan tempat tinggal?,Bagaimana kondisi fasilitas rumah yang dilakukan di lingkungan tempat tinggal?,0.9698232412338257
Q00010,Q04908,Sakernas,Sensus Penduduk,Bagaimana kondisi fasilitas rumah yang diterima di lingkungan tempat tinggal?,Bagaimana kondisi fasilitas rumah yang digunakan di lingkungan tempat tinggal?,0.9625823497772217
Q00010,Q03413,Sakernas,Survei Industri,Bagaimana kondisi fasilitas rumah yang diterima di lingkungan tempat tinggal?,Bagaimana kondisi fasilitas rumah yang diterima di rumah tangga ini?,0.9420530200004578
Q00010,Q04361,Sakernas,Survei UMKM,Bagaimana kondisi fasilitas rumah yang diterima di lingkungan tempat tinggal?,Apakah rumah tangga dicatat fasilitas rumah selama lingkungan tempat tinggal?,0.9269050359725952
Q00010,Q00496,Sakernas,SUSENAS,Bagaimana kondisi fasilitas rumah yang diterima di lingkungan tempat tinggal?,Bagaimana kondisi fasilitas rumah yang tersedia di rumah tangga ini?,0.9265350699424744
Q00010,Q06889,Sakernas,Sensus Penduduk,Bagaimana kondisi fasilitas rumah yang diterima di lingkungan tempat tinggal?,Bagaimana kondisi fasilitas rumah yang diterima di usaha Anda?,0.9261159896850586
Q00010,Q01706,Sakernas,Sensus Pertanian,Bagaimana kondisi fasilitas rumah yang diterima di lingkungan tempat tinggal?,Apa jenis fasilitas rumah yang diterima rumah tangga dalam lingkungan tempat tinggal?,0.9242517352104187
Q00011,Q00528,Survei UMKM,Survei UMKM,Apakah terdapat sumber air minum yang dihasilkan dalam aktivitas sehari-hari?,Apakah terdapat sumber air minum yang diperoleh dalam aktivitas sehari-hari?,0.9855846166610718
Q00011,Q06556,Survei UMKM,Sensus Perumahan,Apakah terdapat sumber air minum yang dihasilkan dalam aktivitas sehari-hari?,Apakah terdapat sumber air minum yang dialami dalam aktivitas sehari-hari?,0.9842712879180908
Q00011,Q00574,Survei UMKM,Survei Industri,Apakah terdapat sumber air minum yang dihasilkan dalam aktivitas sehari-hari?,Apakah terdapat sumber air minum yang dikelola dalam aktivitas sehari-hari?,0.9795594811439514
Q00011,Q03149,Survei UMKM,Survei Hortikultura,Apakah terdapat sumber air minum yang dihasilkan dalam aktivitas sehari-hari?,Apakah terdapat sumber air minum yang dicatat dalam aktivitas sehari-hari?,0.9771801233291626
Q00011,Q02780,Survei UMKM,Survei Industri,Apakah terdapat sumber air minum yang dihasilkan dalam aktivitas sehari-hari?,Apakah terdapat sumber air minum yang dilakukan dalam aktivitas sehari-hari?,0.9759005308151245
Q00011,Q01902,Survei UMKM,Sensus Penduduk,Apakah terdapat sumber air minum yang dihasilkan dalam aktivitas sehari-hari?,Apakah terdapat sumber air minum yang digunakan dalam aktivitas sehari-hari?,0.9680424928665161
Q00011,Q05837,Survei UMKM,SUSENAS,Apakah terdapat sumber air minum yang dihasilkan dalam aktivitas sehari-hari?,Bagaimana kondisi sumber air minum yang diperoleh di aktivitas sehari-hari?,0.9409366846084595
Q00011,Q08338,Survei UMKM,Sensus Perumahan,Apakah terdapat sumber air minum yang dihasilkan dalam aktivitas sehari-hari?,Apa jenis sumber air minum yang dihasilkan rumah tangga dalam aktivitas sehari-hari?,0.9404239654541016
Q00011,Q03922,Survei UMKM,Survei Industri,Apakah terdapat sumber air minum yang dihasilkan dalam aktivitas sehari-hari?,Bagaimana kondisi sumber air minum yang dihasilkan di aktivitas sehari-hari?,0.9402280449867249
Q00012,Q07299,Survei Hortikultura,Survei UMKM,Sejauh mana kendaraan rumah tangga digunakan untuk aktivitas sehari-hari?,Seberapa banyak kendaraan rumah tangga yang digunakan pada aktivitas sehari-hari?,0.9358081221580505
Q00012,Q07723,Survei Hortikultura,Survei Hortikultura,Sejauh mana kendaraan rumah tangga digunakan untuk aktivitas sehari-hari?,Mohon sebutkan kendaraan rumah tangga yang digunakan di aktivitas sehari-hari.,0.9283434152603149
Q00012,Q02361,Survei Hortikultura,Sensus Perumahan,Sejauh mana kendaraan rumah tangga digunakan untuk aktivitas sehari-hari?,Berapa estimasi kendaraan rumah tangga yang digunakan pada aktivitas sehari-hari tersebut?,0.9247507452964783
Q00012,Q08783,Survei Hortikultura,Survei Hortikultura,Sejauh mana kendaraan rumah tangga digunakan untuk aktivitas sehari-hari?,Apakah terdapat kendaraan rumah tangga yang dicatat dalam aktivitas sehari-hari?,0.9219800233840942
Q00012,Q08108,Survei Hortikultura,Sakernas,Sejauh mana kendaraan rumah tangga digunakan untuk aktivitas sehari-hari?,Apa jenis kendaraan rumah tangga yang digunakan rumah tangga dalam aktivitas sehari-hari?,0.9175620675086975
Q00012,Q01294,Survei Hortikultura,SUSENAS,Sejauh mana kendaraan rumah tangga digunakan untuk aktivitas sehari-hari?,Bagaimana kondisi kendaraan rumah tangga yang digunakan di aktivitas sehari-hari?,0.9172036647796631
Q00012,Q02441,Survei Hortikultura,Survei Hortikultura,Sejauh mana kendaraan rumah tangga digunakan untuk aktivitas sehari-hari?,Sejauh mana kendaraan rumah tangga digunakan untuk lingkungan tempat tinggal?,0.9135432839393616
Q00012,Q07695,Survei Hortikultura,Sensus Penduduk,Sejauh mana kendaraan rumah tangga digunakan untuk aktivitas sehari-hari?,Apa jenis kendaraan rumah tangga yang dikelola rumah tangga dalam aktivitas sehari-hari?,0.9113498330116272
Q00012,Q03733,Survei Hortikultura,Survei UMKM,Sejauh mana kendaraan rumah tangga digunakan untuk aktivitas sehari-hari?,Seberapa banyak kendaraan rumah tangga yang dialami pada aktivitas sehari-hari?,0.9095140099525452
Q00013,Q01266,Survei Industri,Survei Industri,Mohon sebutkan alat pertanian yang digunakan di periode sebelumnya.,Mohon sebutkan alat pertanian yang dilakukan di periode sebelumnya.,0.9836402535438538
Q00013,Q09446,Survei Industri,Survei UMKM,Mohon sebutkan alat pertanian yang digunakan di periode sebelumnya.,Mohon sebutkan alat pertanian yang diperoleh di periode sebelumnya.,0.9792882800102234
Q00013,Q09837,Survei Industri,Survei Hortikultura,Mohon sebutkan alat pertanian yang digunakan di periode sebelumnya.,Mohon sebutkan alat pertanian yang dikelola di periode sebelumnya.,0.9790153503417969
Q00013,Q09107,Survei Industri,Sakernas,Mohon sebutkan alat pertanian yang digunakan di periode sebelumnya.,Mohon sebutkan alat pertanian yang dimiliki di periode sebelumnya.,0.9760119318962097
Q00013,Q02764,Survei Industri,Sensus Pertanian,Mohon sebutkan alat pertanian yang digunakan di periode sebelumnya.,Mohon sebutkan alat pertanian yang tersedia di periode sebelumnya.,0.9704039692878723
Q00013,Q05291,Survei Industri,Survei Hortikultura,Mohon sebutkan alat pertanian yang digunakan di periode sebelumnya.,Mohon sebutkan alat pertanian yang dicatat di periode sebelumnya.,0.967108428478241
Q00013,Q01010,Survei Industri,Survei Industri,Mohon sebutkan alat pertanian yang digunakan di periode sebelumnya.,Mohon sebutkan alat pertanian yang diterima di periode sebelumnya.,0.9608126282691956
Q00013,Q08208,Survei Industri,Sensus Penduduk,Mohon sebutkan alat pertanian yang digunakan di periode sebelumnya.,Bisakah Anda menyebutkan alat pertanian yang umum terkait periode sebelumnya?,0.958102285861969
Q00013,Q01696,Survei Industri,Sensus Penduduk,Mohon sebutkan alat pertanian yang digunakan di periode sebelumnya.,Sejauh mana alat pertanian digunakan untuk periode sebelumnya?,0.9523031115531921
Q00014,Q09523,Survei Hortikultura,Survei UMKM,Apa jenis sumber air minum yang dialami rumah tangga dalam usaha Anda?,Apa jenis sumber air minum yang dilakukan rumah tangga dalam usaha Anda?,0.9927901029586792
Q00014,Q01667,Survei Hortikultura,Sakernas,Apa jenis sumber air minum yang dialami rumah tangga dalam usaha Anda?,Apa jenis sumber air minum yang dicatat rumah tangga dalam usaha Anda?,0.989621639251709
Q00014,Q00688,Survei Hortikultura,SUSENAS,Apa jenis sumber air minum yang dialami rumah tangga dalam usaha Anda?,Apa jenis sumber air minum yang dimiliki rumah tangga dalam usaha Anda?,0.9891362190246582
Q00014,Q03762,Survei Hortikultura,Sensus Pertanian,Apa jenis sumber air minum yang dialami rumah tangga dalam usaha Anda?,Apa jenis sumber air minum yang diperoleh rumah tangga dalam usaha Anda?,0.9884788990020752
Q00014,Q07176,Survei Hortikultura,Sakernas,Apa jenis sumber air minum yang dialami rumah tangga dalam usaha Anda?,Apa jenis sumber air minum yang dikelola rumah tangga dalam usaha Anda?,0.9882627725601196
Q00014,Q06125,Survei Hortikultura,Sensus Pertanian,Apa jenis sumber air minum yang dialami rumah tangga dalam usaha Anda?,Apa jenis sumber air minum yang diterima rumah tangga dalam usaha Anda?,0.986004650592804
Q00014,Q04501,Survei Hortikultura,SUSENAS,Apa jenis sumber air minum yang dialami rumah tangga dalam usaha Anda?,Apa jenis sumber air minum yang dihasilkan rumah tangga dalam usaha Anda?,0.9849871397018433
